#OTUID,taxonomy,confidence
e687fcdcbe5a6a022e00b6c64d67a9b7,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella,0.8
49e923041a5638cabb8c1f9ec15c9415,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
56db62fda8e20b3d5b2c13341a87631b,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae,0.8
229ba3b9db06717b9beb76aeee1b4953,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae,0.833333333
7df0d364a50c959f3a1eafe70c42b9c4,k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia,1
021338cdab4c2aad72b0e8c2d16013f7,k__Fungi;p__Ascomycota,0.7
bc8662d8067154fa8b146f9e5831dc82,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_tropicalis,0.8
80ed8fbd150c2fd82ae09b67746a6e49,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria,0.6
9c1672ff20c7e23f8a13984539d6b935,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,0.8
bfc6e2d9a3e15a15fdd72da14303c188,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella,0.7
571fb4a90f475ba109649436820c7b25,k__Fungi;p__Ascomycota,0.7
309c484751341eac97b5c4a195f46b2a,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae;g__Ceramothyrium;s__Ceramothyrium_carniolicum,1
c6e96b0d1f9d79cfdf40628ce5a7f3e3,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Itersonilia;s__Itersonilia_perplexans,0.666666667
a273874fe493591362ea7fd687e9a1cc,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Porostereum;s__unidentified,1
28a488efebc6ca319275c480d449d71b,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Vuilleminiaceae;g__Vuilleminia,1
692abd05d177a31a3bbaebc00062e3b4,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
81a914d7fbd8a7993408a4c9fa2e720b,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,0.666666667
afee6157d025910708edb57210a6c495,Unassigned,1
d858c40d37a0b5f9940ad956ee6b421d,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta,0.8
74bf914dad7bb7706d4e009cce8f39bf,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina,1
29a022ad90c973eb1325f14197c406f5,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium,0.9
70b502650f328fdaa4793ff4b009109d,k__Fungi;p__Ascomycota,0.7
b1ed2a805ac764c8ad928b63bf80c37f,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
a939479acaf74c61382f717aeee6443c,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.7
09837c99219f6c046fe92f4475abcb16,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,1
dda5eceb30d4426fa819a0c6012120c3,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma,0.9
b4c44a9716d2818db34a257072c42c90,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.8
3129f40b8f59948f37552a559a1dca46,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae,0.7
92448ef5374f624ef1548ff05537df51,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Toxicocladosporium,1
07c311176d1db36a14f750dd98a2d9f6,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium,1
cb939a0fd44adffcb256199c3ea0c145,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,0.8
f65bd2f14a76a75997a486d5857de63d,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,0.8
ae1e93558ae4fdff21f86ecbac3280eb,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_parapsilosis,0.666666667
1ff29c5ebba641b5c61f65638c1acd8f,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia,0.9
130d1b4cba3f3a7f754582b5bee8f288,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides,0.7
39fb45695f4654f3ac6934d0286e2cfb,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces,1
696e57fcf9f96ee46f7c69ab12f57b95,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Alutaceodontia;s__Alutaceodontia_alutacea,1
4cf217697d00b0002b598dd6d56e9f17,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae,0.714285714
0e7344440ff4146449bb09c411960d1f,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma,0.8
fbbdc1169c007bac65c7c02ca9abe2c4,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium,1
98dde5bf2ef3abdbd56b88f65f28b275,k__Fungi;p__Ascomycota,0.7
2f30ee30333539980377707e02757b24,Unassigned,1
38ca76f3ef8548a0ee2183e6aca5e4e1,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
